stagenm	birthnm	firstnm	dob	origin	gender
Cathy Moriarty	#	#	#	\Un	F
Michael Moriarty	#	#	#	\Un	M
Patricia Morison	Morison	Eileen	1915	\Am	F
Lucilla Morlacchi	#	#	#	\Un	F
Robert Morley	Morley	Robert	1908	\Br	M
Garrett Morris	#	#	#	\Un	M
Glenn Morris	#	#	#	#	M
Howard Morris	Morris	Howard	1919	\Am	M
Shelley Morrison	#	#	#	\Un	#
Doretta Morrow	Marano	Doretta	1925	\Am	F
Carrie Ann Morrow	Morrow	Carrie Ann	1975	\Am	F
Joshua Morrow	Morrow	Joshua	1975	\Am	M
David Morse	#	#	#	\Un	M
Gary Morse	#	#	#	\Un	M
Hilary Morse	Morse	Hilary	#	\Am	F
Clive Morton	Morton	Clive	1904	\Br	M
Ivan Mosjoukine	Mosjoukine	Ivan	1889	\Ru	M
Joshua Mostel	#	#	#	\Un	M
Judy Motulsky	#	#	#	\Un	F
Jane Movak	#	#	#	\Un	F
Cookie Mueller	Mueller	Dorothy	1939	\Am	F
Armin MuellerStahl	Mueller-Stahl	Armin	1930	\Ge	M
Gavin Muir	Muir	Gavin	1907	\Am	M
Diana Muldaur	Muldaur	Diana	1943	\Am	F
Jack Mulhall	Mulhall	Jack	1888	\Am	M
Martin Mull	#	#	#	\Un	M
Barbara Mullen	Mullen	Barbara	1914	\Ir-\Am	F
Meg Mundy	#	#	#	\Un	F
Jonathan Munk	#	#	#	\Un	M
Partice Munsel	Munsel	Partice	1925	\Am	F
Jules Munshin	Munshin	Jules	1915	\Am	M
Irina Muravyova	#	#	#	\Un	F
Richard Murdoch	Murdoch	Richard	1907	\Am	M
George Murdock	#	#	#	\Un	M
Charlie Murphy	Murphy	Charlie	#	\Un	M
Donald Murphy	#	#	#	\Un	M
George Murphy	Murphy	George	1902	\Ir-\Am	M
Rosemary Murphy	Murphy	Rosemary	1925	\Am	F
Bill Murray	#	#	#	\Un	M
Charlie Murray	Murray	Charlie	1872	\Am	M
Brian Doyle Murray	#	#	#	\Un	M
Don Murray	Murray	Don	1929	\Am	M
Mae Murray	Koenig	Marie Adrienne	1889	\Am	F
Tom Murray	#	#	#	\Un	M
Carmel Myers	Myers	Carmel	1899	\Am	F
Susan Myers	#	#	#	\Un	F
Anne Nagel	Dolan	Anne	1912	\Am	F
Conrad Nagel	Nagel	Conrad	1896	\Am	M
Joanne Nail	#	#	#	\Un	F
Reggie Nalder	#	#	#	\Un	M
Jack Nance	#	#	#	\Un	M
John Nance	#	#	#	\Un	M
Brian Narelle	#	#	#	\Un	M
Owen Nares	Nares	Owen	1888	\Br	M
Mary Nash	Nash	Mary	1885	\Am	F
Stephen Nathan	#	#	#	\Un	M
David Naughton	#	#	#	\Un	M
Alla Nazimova	Nazimoff	Alla	1879	\Ru	F
Amedeo Nazzari	Nazzari	Amedeo	1907	\It	M
Kay Nebel	Nebel	Kay	1889	\Ge	M
Audrie J. Neenan	#	#	#	\Un	#
Kay Neer	#	#	#	\Un	F
Liam Neeson	Neeson	Liam	#	\Ir	M
Little Nell	#	#	#	\Un	F
Kate Nelligan	Nelligan	Kate	1951	\Ca	F
Barry Nelson	Neilson	Robert	1920	\Am	M
Bob Nelson	#	#	#	\Un	M
David Nelson	#	#	1947	\Un	M
Gene Nelson	Berg	Leander	1920	\Am	M
Judd Nelson	Nelson	#	1959	\Un	M
Kenneth Nelson	#	#	#	\Un	M
Richard Nelson	#	#	#	\Un	M
Rick Nelson	Nelson	Rick	1940	\Am	M
Rosalba Neri	#	#	#	\Un	F
Tommaso Neri	#	#	#	\Un	M
Robert Neuman	#	#	#	\Un	M
Paul Nevens	#	#	#	\Un	M
Carol Irene Newell	#	#	#	\Un	F
John Newland	Newland	John	1916	\Am	M
Anthony Newlands	Newlands	Anthony	1926	\Br	M
Anthony Newley	Newley	Anthony	1931	\Br	M
Lorraine Newman	#	#	#	\Un	F
Rachel Newman	Rachel	Newman	#	#	F
Scott Newman	Scott	Newman	#	#	F
Julie Newmar	Newmeyer	Julia	1930	\Am	F
Robert Newton	Newton	Robert	1905	\Br	M
Olivia NewtonJohn	Newton-John	Olivia	1948	\Br	F
Marie Ney	Ney	Marie	1895	\Br	M
Richard Ney	Ney	Richard	1917	\Am	M
Haing S. Ngor	#	#	#	\Un	M
Barbara Nichols	Nichols	Barbara	1929	\Am	F
Britt Nichols	#	#	#	\Un	F
Nichelle Nichols	#	#	#	\Un	F
Daria Nicolodi	#	#	#	\Un	F
Asta Nielsen	Nielsen	Asta	1882	\Da	F
Brigitte Nielsen	Nielsen	Brigitte	#	\Un	F
Lisa Niemi	Niemi	Lisa	#	\Am	F
Gertrude Niesen	Niesen	Gertrude	1912	\Am	F
John Niland	#	#	#	\Un	M
Anna Q. Nilsson	Nilsson	Anna Q.	1889	\Sw	F
Leonard Nimoy	#	#	#	\Un	M
Derek Nimmo	Nimmo	Derek	1931	\Br	M
Cynthia Nixon	#	#	#	\Un	F
Marni Nixon	Nixon	Marni	1929	\Am	F
Nancy Lee Noble	#	#	#	\Un	F
Trisha Noble	#	#	#	\Un	F
Natalie Nogulich	#	#	#	\Un	F
John Nolan	#	#	#	\Un	M
Nick Nolte	Nolte	Nick	1941	\Am	M
Mike Nomad	#	#	#	\Un	M
Christine Noonan	#	#	#	\Un	F
Christine Norden	Thornton	Maria Lydia	1924	\Am	F
Jack Norman	#	#	#	\Un	M
Christopher Norris	#	#	#	\Un	M
Chuck Norris	Norris	Chuck	1939	\Am	M
Mike Norris	#	#	#	\Un	M
Harry Northup	#	#	#	\Un	M
Michael Nouri	#	#	#	\Un	M
Ramon Novarro	Samaniegos	Ramon	1899	\Me	M
Jay Novello	Novello	Jay	1905	\Am	M
Elliott Nugent	Nugent	Elliott	1899	\Am	M
Terri Nunn	#	#	#	\Un	F
France Nuyen	Nuyen	France	1939	\Fr	M
Will Nye	#	#	#	\Un	M
Wheeler Oakman	Eichelberger	Vivian	1890	\Am	F
Cicely Oates	#	#	#	\Un	F
Dan OBannon	O'Bannon	Dan	#	\Un	M
Ana Obregon	#	#	#	\Un	F
Maria OBrien	O'Brien	Maria	#	\Un	F
Andrea Occhipinti	#	#	#	\Un	F
Taffy OConnell	O'Connell	Taffy	#	\Un	F
Donald OConnor	O'Connor	Donald	1925	\Am	M
Kevin OConnor	O'Connor	Kevin	#	\Un	M
Tim OConnor	O'Connor	Tim	1927	\Un	M
Una OConnor	O'Connor	Una	1880	\Ir	F
Carroll ODea	O'Dea	Carroll	#	\Un	#
Denis ODea	O'Dea	Denis	1905	\Ir	M
Judith ODea	O'Dea	Judith	#	\Un	F
Mary Odette	Goimbault	Mary	1901	\Fr	F
Chris ODonnell	O'Donnell	Chris	#	\Un	M
Lani OGrady	O'Grady	Lani	#	\Un	F
Catherine OHara	O'Hara	Catherine	#	\Un	F
Maureen OHara	Fitzsimmons	Maureen	1920	\Ir	F
Michael OKeefe	O'Keefe	Michael	#	\Un	M
Miles OKeefe	O'Keefe	Miles	#	\Un	M
Lilian Oldland	Oldland	Lilian	1905	\Br	F
Michael OLeary	O'Leary	Michael	#	\Un	M
Lena Olin	#	#	#	\Un	F
Barret Oliver	#	#	#	\Un	M
Edna May Oliver	Cox-Oliver	Edna May	1883	\Am	F
Paul Olivier	#	#	#	\Un	M
Susan Olivier	#	#	#	\Am	F
Edward James Olmes	#	#	#	\Un	M
Colleen ONeil	O'Neil	Colleen	#	\Un	F
James ONeil	O'Neil	James K.	#	\Un	M
Cynthia ONeil	O'Neil	CynthiaF	#	\Un	#
Nance ONeil	O'Neil	Nance	1875	\Am	F
Shannon ONeil	O'Neil	Shannon	#	\Un	#
Tricia ONeil	O'Neil	Tricia	#	\Un	F
Dick ONeill	O'Neill	Dick	#	\Un	M
Jennifer ONeill	O'Neill	Jennifer	#	\Un	F
Henry ONeill	O'Neill	Henry	1891	\Am	M
James ONeill	O'Neill	James	1847	\Am	M
Remy ONeill	O'Neill	Remy	#	\Un	F
Yoko Ono	#	#	#	\Un	F
David Opatoshu	Opatosky	David	1918	\Am	M
Don Opper	#	#	#	\Un	M
Kathleen ORegan	O'Regan	Kathleen	#	\Un	F
Brefni ORourke	O'Rourke	Brefni	1889	\Br	M
Jack ORourke	O'Rourke	Jack	#	\Un	M
Umberto Orsini	#	#	#	\Un	F
Mechu Ortiz	#	#	#	\Un	#
Michael OShea	O'Shea	Michael	1906	\Am	F
Missy OShea	O'Shea	Missy	#	\Un	F
Jeff Osterhage	#	#	#	\Un	M
Robert Osth	#	#	#	\Un	M
Maureen OSullivan	O'Sullivan	Maureen	1911	\Ir	F
Peter OToole	O'Toole	Peter	1932	\Br	M
Fred Ott	Ott	Fred	1860	\Am	M
Rafaela Ottiano	Ottiano	Rafaela	1894	\It	F
Brian Oulton	Oulton	Brian	1908	\Br	M
Maria Ouspenskaya	Ouspenskaya	Maria	1876	\Ru	F
Frank Overton	#	#	#	\Un	M
Tony Owen	#	#	#	\Un	#
David Oxley	Oxley	David	1929	\Br	M
Frank Oz	Oznowicz	Frank	1944	\Br	M
Joanna Pacula	#	#	#	\Un	F
Anita Page	#	#	#	\Un	F
Marcel Pagliero	Pagliero	Marcelo	#	\Ct	M
Jacqueline Pagnol	#	#	#	\Un	F
Dre Pahich	#	#	#	\Un	#
Nestor Paiva	Paiva	Nestor	1905	\Am	M
Anita Pallenberg	#	#	#	\Un	F
Eugene Pallette	Pallette	Eugene	1889	\Am	M
Betsy Palmer	Brumek	Patricia	1929	\Am	F
Gregg Palmer	Lee	Palmer	1927	\Am	M
Gwyneth Paltrow	Paltrow	Gwyneth	1973	\Am	F
Stuart Pankin	#	#	#	\Un	M
Joe Pantoliano	#	#	#	\Un	M
Paul Panzer	Panzer	Paul	1872	\Am	M
Tatania Papamoskou	Papamoskou	Tatania	1964	\Gr	F
Irene Papas	Papas	Irene	1926	\Gr	F
Don Pardo	#	#	#	\Un	M
Michael Pare	#	#	#	\Un	M
Jerry Paris	Paris	Jerry	1925	\Am	M
Barnett Parker	Parker	Barnett	1890	\Br	M
MaryLoise Parker	Parker	Mary-Loise	1960	\Am	F
Sarah Jessica Parker	Parker	Sarah Jessica Parker	#	\Am	F
Dita Parlo	Kornstadt	Gerthe	1906	\Ge	F
Leslie Parrish	#	#	#	\Un	F
Louella Parsons	Oettinger	L.	#	\Am	#
Michael Pataki	#	#	#	\Un	M
Christopher Pate	#	#	#	\Un	M
Michael Pate	Pate	Michael	1920	\Au	M
Mandy Patinkin	#	#	#	\Un	F
Charles Paton	#	#	#	\Un	M
Dennis Patrick	#	#	#	\Am	M
Luana Patten	Patten	Luana	1938	\Am	F
Lee Patterson	Patterson	Lee	1929	\Ca	M
Lorna Patterson	#	#	#	\Un	F
Mark Patton	#	#	#	\Un	M
Rosemary Paul	#	#	#	\Un	F
Scott Paulin	#	#	#	\Un	M
Morgan Paull	#	#	#	\Un	#
Pat Paulsen	#	#	#	\Un	#
Anika Pavel	#	#	#	\Un	F
Anna Pavlova	#	#	#	\Un	F
Katina Paxinou	Constantopoulos	Katina	1900	\Gr	F
Alice Pearch	Pearch	Alice	1913	\Am	F
Eric Pearce	Pearce	Sir Eric	#	\Un	M
Jacqueline Pearce	#	#	#	\Un	F
Patricia Pearcy	#	#	#	\Un	F
Jesse Pearson	#	#	#	\Un	M
Charles Peel	#	#	#	\Un	M
David Peel	#	#	1920	#	M
Joan Peers	#	#	#	\Un	F
Pele	#	#	#	#	M
Lisa Pelikan	#	#	#	\Un	F
Raymond Pellegrin	#	#	#	\Un	M
Pina Pellicer	#	#	#	\Un	F
Rick Pemberton	#	#	#	\Un	M
Nat Pendleton	Pendleton	Nat	1895	\Am	M
Christopher Penn	#	#	#	\Un	M
Sean Penn	#	#	1960	\Am	M
Jack Pennick	Pennick	Jack	1895	\Am	M
Joe Penny	#	#	#	\Un	M
Virginia Penta	#	#	#	\Un	F
Stacey Peralta	#	#	#	\Un	F
Esme Percy	Percy	Esm\'e	1887	\Br	F
Jose Perez	#	#	#	\Un	M
Francois P\'erier	Pilu	Fran{\c}cois	1919	\Fr	M
Ron Perlman	#	#	#	\Un	M
Anna Perrier	#	#	#	\Un	F
Leslie Perrins	Perrins	Leslie	1902	\Br	M
Felton Perry	#	#	#	\Un	M
Louis Perryman	#	#	#	\Un	M
Nehemiah Persoff	Persoff	Nehemiah	1920	\Is	M
Joe Pesci	Pesci	Joseph	#	\Am	M
House Peters	Peters	House	1880	\Am	M
Stewart Petersen	#	#	#	\Un	M
Dorothy Peterson	Peterson	Dorothy	1900	\Am	F
Sammy Petrillo	#	#	#	\Un	M
Howard Petri	#	#	#	\Un	M
George Petrie	#	#	#	\Un	M
Elizabeth Petterson	#	#	#	\Un	F
Jo Ann Pflug	#	#	#	\Un	F
Mary Philbin	Philbin	Mary	1903	\Am	F
Gerard Philipe	Philipe	G\'erard	1922	\Fr	M
Mary Philips	Philips	Mary	1900	\Am	F
MacKenzie Phillips	Phillips	MacKenzie	1960	\Am	M
Michelle Phillips	#	#	#	\Un	F
James Phipps	#	#	#	\Un	M
Irving Pichel	Pichel	Irving	1891	\Am	M
Sorrells Pickard	#	#	#	\Un	M
Mary Pickford	Smith	Gladys	1893	\Ca	F
Wilfred Pickles	Pickles	Wilfred	1904	\Br	M
Molly Picon	Picon	Molly	1898	\Am	F
Tiana Pierce	#	#	#	\Un	F
Nova Pilbeam	Pilbeam	Nova	1919	\Br	F
Bronson Pinchot	#	#	#	\Un	M
Miguel Pinero	#	#	#	\Un	M
Dominique Pinon	#	#	#	\Un	F
Danny Pintauro	#	#	#	\Un	M
Ezio Pinza	Pinza	Fortunato	1893	\It-\Am	M
The Sons of the Pioneers	Pioneers	Sons of	#	\Am	G
Bradd Pitt	Pitt	Brad	#	\Am	M
Zasu Pitts	Pitts	Zasu	1898	\Am	F
Mary Kay Place	#	#	#	\Un	F
Michele Placich	#	#	#	\Un	F
Roger Planchon	#	#	#	\Un	M
Dana Plato	#	#	#	\Un	#
Moliere Players	#	#	#	\Fr	G
Hilda Plowright	#	#	#	\Un	F
Joan Plowright	Plowright	Joan	1929	\Br	F
Amanda Plummer	#	#	#	\Un	F
Adelina Poerio	#	#	#	\Un	F
Roman Polanski	Polanski	Roman	1933	\Po	M
Sydney Pollack	Pollack	Sydney	1934	\Am	M
Michael J. Pollard	Pollack	Michael J.	1939	\Am	M
Tommy Pollard	#	#	#	\Un	M
Ellen Pollock	Pollock	Ellen	1903	\Br	F
Lily Pons	Pons	Lily	1904	\Fr	F
Roy Poole	#	#	#	\Un	M
Albert Popwell	#	#	#	\Un	M
Don Porter	#	#	#	\Un	M
Eric Porter	#	#	#	\Un	M
Markie Post	#	#	#	\Un	#
Madeline Potter	#	#	#	\Un	F
Annie Potts	#	#	#	\Un	F
Cliff Potts	Potts	Cliff	#	\Am	M
C.C.H. Pounder	Pounder	C.C.H.	#	\Am	F
Louise Pounds	#	#	#	\Un	F
Phyllis Povah	#	#	#	\Un	F
Frank Powell	#	#	#	\Un	M
Joynson Powell	#	#	#	\Un	M
Michael Powell	Powell	Michael	1905	\Br	M
Taryn Power	#	#	#	\Un	#
Tyrone Power Snr	Power Snr	Tyrone	1869	\Am	M
Joan Prather	#	#	#	\Un	F
June Preisser	Preisser	June	1921	\Am	F
Otto Preminger	Preminger	Otto	1906	\Os-\Am	M
Lucy Prentiss	#	#	#	\Un	F
Robert Prescott	#	#	#	\Un	M
Donna Prescow	#	#	#	\Un	F
Priscilla Presley	Presley	Priscilla	1950	\Am	F
Kelly Preston	Preston	Kelly	1963	\Am	F
Marie Prevost	Dunn (Pr\'evost)	Marie Bickford	1893	\Am-\Fr	F
Alan Price	#	#	#	\Un	M
Vincent Price	Price	Vincent	1911	\Am	M
Martin Priest	Priest	Martin	#	\Am	M
Barry Primus	Primus	Barry	1938	\Am	M
Prince	bnc	fc	1958	\Am	M
Jurgen Prochnow	#	#	#	\Un	M
Robert Prosky	#	#	#	\Un	M
David Prowse	#	#	#	\Un	M
Cameron Prudhomme	Prud'homme	Cameron	#	\Ct	F
Jonathan Pryce	Pryce	Jonathan	1947	\Br	M
Nicholas Pryor	Pryor	Nicholas	#	\Am	M
Vladimir Pucholt	#	#	#	\Un	M
Lee Purcell	#	#	#	\Un	#
Linda Purl	Purl	Linda	1955	\Am	F
Edna Purviance	Purviance	Edna	1894	\Am	F
Roselyne Puyo	#	#	#	\Un	F
Monty Python	#	#	#	\Un	M
Dennis Quaid	Quaid	Dennis	1955	\Am	M
John Qualen	#	#	#	#	M
Rita Quigley	#	#	#	\Un	F
Aidan Quinn	#	#	#	\Un	#
Aileen Quinn	#	#	#	\Un	F
Bill Quinn	#	#	#	\Un	M
Valerie Quinnessen	#	#	#	\Un	F
Francine Racette	#	#	#	\Un	F
Kurt Raab	Raab	Kurt	#	\Ge	M
M.G. Ramachandran	bn	fn	#	\In	M
Gilda Radner	Radner	Gilda	#	\Am	F
Chips Rafferty	Goffage	John	1909	\Au	M
Michael Raffetto	#	#	#	\Un	M
George Raft	Ranft	George	1895	\Am	M
Douglas Rain	#	#	#	\Un	M
Luise Rainer	Rainer	Luise	1909	\Os	F
Claude Rains	Rains	Claude	1889	\Br	M
Ford Rainey	#	#	#	\Un	M
Bill Raisch	#	#	#	\Un	M
Rohn Raitt	Raitt	Rohn	1921	\Am	M
Vera Hruba Ralston	Ralston	Vera Hruba	1921	\Cz	F
Dack Rambo	#	#	1941	\Am	M
Laura Rambotham	#	#	#	\Un	F
Harold Ramis	#	#	#	\Un	M
Sally Rand	Beck	Helen Gould	1904	\Am	F
Frank Randie	McEvoy	Arthur	1901	\Br	M
Elsie Randolph	Randolph	Elsie	1904	\Br	F
John Randolph	Randolph	John	1917	\Am	M
David Rappaport	Rappaport	David	#	\Ct	M
Michael Rappaport	Rappaport	Michael	#	\Ct	M
Michael Rapport	#	#	#	\Un	M
Peter Ratray	#	#	#	\Un	M
Heather Rattray	#	#	#	\Un	F
Blanche Ravalec	#	#	#	\Un	F
Charles Ray	Ray	Charles	1891	\Am	M
Johnnie Ray	Ray	Johnnie	1927	\Am	M
Martha Raye	O\'Reed	Maggie	1916	\Am	F
Candy Raymond	#	#	#	\Un	F
Gary Raymond	Raymond	Gary	1935	\Br	M
Sheila Raynor	#	#	#	\Un	F
Stephen Rea	Rea	Stephen	#	\Ir	M
James Read	#	#	#	\Un	M
Bertice Reading	#	#	#	\Un	F
Billy Redden	#	#	#	\Un	#
William Redfield	#	#	#	\Un	M
Basil Redford	#	#	#	\Un	M
Corin Redgrave	Redgrave	Corin	1939	\Br	M
Jemma Redgrave	Redgrave	Jemma	#	\Br	F
Lynn Redgrave	Redgrave	Lynn	1943	\Br	F
Joyce Redman	Redman	Joyce	1918	\Ir	F
Moira Redmond	Redmond	Moira	1958	\Br	F
Donna Reed	Mullenger	Donna	1921	\Am	F
Jerry Reed	#	#	#	\Un	M
Oliver Reed	Reed	Oliver	1938	\Br	M
Pamela Reed	#	#	#	\Am	F
Robert Reed	#	#	#	\Un	M
Tracy Reed	#	#	#	\Un	F
Harry Reems	Streicher	Herbert	1947	#	M
Roger Rees	#	#	1944	\Br (Wales)	M
Joe Regalbuto	#	#	#	\Un	M
Serge Reggiani	Reggiani	Serge	1922	\Fr-\It	M
Whit Reichert	#	#	#	\Un	M
Frances Reid	#	#	#	\Un	F
Kate Reid	Reid	Kate	1930	\Ca	F
Wallace Reid	Reid	Wallace	1890	\Am	M
Peter Reigert	#	#	#	\Un	M
Tom Reilly	#	#	#	\Un	M
Rob Reiner	#	#	1945	\Am	M
Thomas Reiner	#	#	#	\Un	M
Judge Reinhold	#	#	#	\Un	M
Winston Rekert	#	#	#	\Un	M
James Remar	#	#	#	\Un	M
Bert Remsen	#	#	#	\Am	M
Duncan Renaldo	Duncan	Renault Renaldo	1904	\Am	M
Liz Renay	#	#	#	\Un	F
Dan Resin	#	#	#	\Un	M
Anne Revere	Revere	Anne	1903	\Am	F
Dorothy Revier	Velagra	Doris	1904	\Am	F
Aldo Rey	#	#	#	\Un	M
Alejandro Rey	Rey	Alejandro	#	\Ar	M
Fernando Rey	Rey	Fernando	1915	\Sp	M
Michael J. Reynolds	#	#	#	\Un	F
Sybil Rhoda	#	#	#	\Un	F
Betty Jane Rhodes	Rhodes	Betty Jane	1921	\Am	F
Madlyn Rhue	Roche	Madeleine	1934	\Am	F
Paul Rhys	Rhys	Paul	#	\Br	M
Candice Rialzon	#	#	#	\Un	F
Irene Rich	Rich	Irene	1891	\Am	F
Kim Richards	#	#	1964	\Am	F
Joely Richardson	#	#	#	\Un	F
Lee Richardson	#	#	#	\Un	#
Natasha Richardson	Richardson	Natasha	#	\Un	#
Harry Richman	Richman	Harry	1895	\Am	M
Debi Richter	#	#	#	\Un	F
Hal Riddle	Riddle	Hal	1920	\Un	M
Judith Ridley	#	#	#	\Un	F
Leni Riefenstahl	Riefenstahl	Leni	1902	\Ge	F
Peter Riegert	#	#	#	\Un	M
Ron Rifkin	#	#	#	\Un	M
Terence Right	#	#	#	\Un	M
Jack Riley	#	#	#	\Un	M
Larry Riley	#	#	#	\Un	M
Walter Rilla	Rilla	Walter	1895	\Ge	M
Shane Rimmer	Rimmer	Shane	#	\Am	M
RinTinTin	#	#	1916	\Ge	A
Molly Ringwald	Ringwald	Molly	1968	\Am	F
Brad Rinn	#	#	#	\Un	M
Kristen Riter	#	#	#	\Un	F
Martin Ritt	Ritt	Martin	1919	\Am	M
Thelma Ritter	Ritter	Thelma	1905	\Am	F
Harry Ritz	Ritz	Harry	#	\Am	M
The Ritz-Brothers	Ritz	*	#	\Am	G
Cecilia Rivera	#	#	#	\Un	F
George Rivero	#	#	#	\Un	M
George Rivers	#	#	#	\Un	M
Bert Roach	Roach	Bert	1891	\Am	M
Lilian Roams	Roams	Lilian	1967	\Br	F
Adam Roarke	#	#	#	\Un	M
Jason Robards~jr.	Roberts~jr.	Jason	1920	\Am	M
Sam Robards	Robards	Sam	#	\Am	M
Mathew Robbins	#	#	#	\Am	M
John C. Roberick	#	#	#	\Un	M
Christian Roberts	#	#	#	\Un	M
Doris Roberts	Roberts	Doris	1930	\Am	F
Glenn Roberts	#	#	#	\Un	M
Michael D. Roberts	#	#	#	\Un	M
Rachel Roberts	Roberts	Rachel	1930	\Br	F
Tanya Roberts	#	#	#	\Am	F
Teal Roberts	#	#	#	\Un	#
Dale Robertson	Robertson	Dale	1923	\Am	M
Dennis Robertson	#	#	#	\Un	M
James Robertson	#	#	#	\Un	M
Robbie Robertson	#	#	#	\Un	M
Hayward Robillard	#	#	#	\Un	M
Ann Robinson	#	#	#	\Un	F
Edward G. Robinson	Goldenberg	Emmanuel	1893	\Rm	M
Francis Robinson	Robinson	Francis	1916	\Am	F
Madeleine Robinson	Svoboda	Madeleine	1916	\Fr	F
Wayne Robson	#	#	#	\Un	M
Alex Rocco	#	#	1936	\Am	M
Jean Rochefort	#	#	1930	\Fr	F
Sam Rockwell	Rockwell	Sam	1969	\Am	M
Marcia Rodd	#	#	#	\Un	F
Maurice Roeves	Ro\"eves	Maurice	#	\Ct	M
Mimi Rogers	Rogers	Mimi	1955	\Am	F
Roy Rogers	Slye	Leonard	1912	\Am	M
Will Rogers	Rogers	Will	1879	\Am	M
Helena Rojo	#	#	#	\Un	F
Ruth Roland	Roland	Ruth	1893	\Am	F
Howard E. Rollins~jr.	#	#	#	\Am	M
Andy Romano	#	#	#	\Un	M
Mike Romanoff	Gerguson	Harry	1890	\Am	M
Sydney Rome	#	#	1947	\Am	M
Fred Romer	#	#	#	\Un	M
Cesar Romero	Romero	Cesar	1907	\Ct	M
Linda Ronstadt	Ronstadt	Linda	1946	\Am	F
Milton Rosmer	Lunt	Arthur Milton	1881	\Br	M
Annie Ross	#	#	#	\Un	F
Herbert Ross	Ross	Herbert	1927	\Am	M
Yvonne Ross	#	#	#	\Un	F
Isabella Rossellini	Rossellini	Isabella	1955	\It	F
George Rossi	#	#	#	\Un	M
Leo Rossi	#	#	#	\Un	M
Robert Rounseville	Rounseville	Robert	1914	\Am	M
Lionel Royce	Royce	#	#	\Br	M
Alma Rubens	Smith	Alma	1897	\Am	F
Saul Rubinek	#	#	#	\Un	M
Paul Rudd	Rudd	Paul	1970	#	M
Herbert Rudley	Rudley	Herbert	1911	\Am	M
Rita Rudner	Rudner	Rita	#	\Ct	F
Mercedes Ruehl	Ruehl	Mercedes	#	\Am	F
John Rumar	#	#	#	\Un	M
Jennifer Runyon	#	#	#	\Un	F
Rupaul	bn	gn	#	\Am	M
Deborah Rush	#	#	#	\Un	F
Elizabeth Rush	#	#	#	\Un	F
William Russ	#	#	#	\Un	M
Del Russel	Russel	Del	1952	\Am	M
Theresa Russel	Russell	Theresa	1957	\Am	F
Betsy Russell	#	#	#	\Un	F
Craig Russell	#	#	#	\Un	M
Gail Russell	Russell	Gail	1924	\Am	F
John Russell	Russell	John	1921	\Am	M
Lillian Russell	Leonard	Helen Louise	1861	\Am	F
Nipsey Russell	Russell	Nipsey	#	\Am	F
Gianni Russo	#	#	#	\Un	M
Rene Russo	Russo	Ren\'e	1955	\Am	F
Fran Ryan	#	#	#	\Un	F
Irene Ryan	Riordan	Irene	1903	\Am	F
James Ryan	#	#	#	\Un	M
Meg Ryan	#	#	#	\Un	F
Mitch Ryan	Ryan	Mitchell	1928	\Am	M
Peggy Ryan	Ryan	Peggy	1924	\Am	F
Robert Ryan	Ryan	Robert	1909	\Am	M
Raisa Ryazonova	#	#	#	\Un	F
David Rydall	#	#	#	\Un	M
Bobby Rydell	Rydell	Bobby	1942	\Am	M
Winona Ryder	Winona	Horowitz	1971	\Am	F
Jack Ryland	#	#	#	\Un	M
Yacef Saadi	#	#	#	\Un	M
Greta Sacchi	#	#	#	\Un	F
Stephen Sachs	#	#	#	\Un	M
Michael Sacks	#	#	#	\Un	M
Marianne Sagebrecht	S\"agebrecht	Marianne	#	\Ge	F
Kengji Sahara	#	#	#	\Un	#
Mort Sahl	Sahl	Mort	1926	\Am	M
Michael SaintDenis	Saint Denis	Michael	#	\Fr	M
Theresa Saldana	#	#	#	\Un	F
P.J. Sales	#	#	#	\Un	M
Louis Salon	#	#	#	\Un	M
Renato Salvatori	#	#	#	\Un	M
JoAnne Samuel	#	#	#	\Un	F
Henry Sanada	#	#	#	\Un	M
Jaime Sanchez	#	#	#	\Un	M
Salvatore Sanchez	#	#	#	\Un	M
George Sanders	Sanders	George	1906	\Br	M
William Sanderson	#	#	#	\Un	M
Steve Sandor	#	#	#	\Un	M
Julian Sands	#	#	#	\Un	M
Olga SanJuan	San Juan	Olga	1927	\Am	F
Tom Santchi	#	#	#	\Un	M
Reni Santoni	Santoni	Reni	1939	\Am	M
Joe Santos	#	#	#	\Un	M
Tom Santschi	Santschi	Tom	1879	\Am	M
Michael Sarrazin	Sarrazin	Michael	1940	\Ca	M
Fred Savage	#	#	1976	\Un	M
Vic Savage	#	#	#	\Un	M
George Savalas	#	#	#	\Un	M
Tom Savini	#	#	#	\Un	M
Jimmy Savo	Savo	Jimmy	1895	\Am	M
Teresa Ann Savoy	#	#	#	\Un	F
Joseph Sawyer	Sawyer	Joseph	1901	\Am	M
Peggy Sawyer	#	#	#	\Un	F
Felice Schacter	#	#	#	\Un	F
Wendy Schall	#	#	#	\Un	F
Sabrina Scharf	#	#	#	\Un	F
Ronnie Schell	#	#	#	\Un	#
August Schellenberg	#	#	#	\Un	M
Ralph Schicha	#	#	#	\Un	M
Joseph Schildkraut	Schildkraut	Joseph	1895	\Os	M
Gus Schilling	Schilling	Gus	1908	\Am	M
Anja Schmidt	#	#	#	\Un	F
Joseph Schmidt	Schmidt	Joseph	1906	\Ge	M
John Schneider	#	#	#	\Un	M
Magda Schneider	Schneider	Magda	#	\Os	F
Maria Schneider	Schneider	Maria	1952	\Ge	F
